Hora,Demanda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Cap_comprometida,Eolica_disp,Eolica_uso,Vertimiento,Charge,Discharge,BESS_net,SOC_MWh,SOC_pct
14,2517.975,152.0,151.99999999999997,129.57258308116164,4.263256414560601e-14,3.410605131648481e-13,155.0,154.99999999999926,399.99999999999636,400.00000000000125,300.00000000000006,310.0,349.99999999999983,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,14.402416918841212,14.402416918841212,0.0,0.0,0.0,0.0,0.0,0.0
15,2464.965,150.7871300659627,152.0,75.00000000000017,3.410605131648481e-13,-3.979039320256561e-13,155.0,154.9999999999988,399.99999999999824,400.0000000000002,300.0,309.9999999999995,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,17.17786993403999,17.17786993403999,0.0,0.0,0.0,0.0,0.0,0.0
16,2464.965,140.18840244837693,152.00000000000006,74.99999999999994,-1.4210854715202004e-14,-1.1368683772161603e-13,155.0,155.00000000000028,399.9999999999973,399.99999999999955,299.99999999999994,310.00000000000034,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,27.77659755162515,27.77659755162515,0.0,0.0,0.0,0.0,0.0,0.0
17,2623.995,152.0,152.0,219.99500000000242,-1.1368683772161603e-13,-2.2737367544323206e-13,155.0,155.00000000000045,399.9999999999972,400.00000000000034,300.0000000000001,309.9999999999997,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2650.5,152.0,151.99999999999997,257.146002467737,1.4210854715202004e-13,-1.7053025658242404e-13,155.0,155.00000000000045,399.99999999999744,400.0000000000009,300.0000000000001,309.9999999999998,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,19.35399753226569,19.35399753226569,0.0,0.0,0.0,0.0,0.0,0.0
19,2650.5,152.0,152.00000000000003,258.52657570104026,2.842170943040401e-14,-3.979039320256561e-13,155.0,154.99999999999758,399.999999999997,400.0,299.99999999999994,309.9999999999999,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,17.97342429896464,17.97342429896464,0.0,0.0,0.0,0.0,0.0,0.0
20,2544.48,152.0,152.0,156.74842995438468,-2.842170943040401e-14,1.7053025658242404e-13,155.0,154.9999999999982,399.99999999999704,400.0000000000001,300.0,309.99999999999966,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,13.731570045620048,13.731570045620048,0.0,0.0,0.0,0.0,0.0,0.0
21,2411.955,107.13771525665011,152.0000000000066,74.9999999999991,3.694822225952521e-13,-6.252776074688882e-13,155.0,155.0000000000001,399.99999999999824,399.9999999999998,300.0,310.0,349.99999999999886,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,7.817284743348126,7.817284743348126,0.0,0.0,0.0,0.0,0.0,0.0
22,2199.915,1.5987211554602254e-14,110.65583253198616,1.3926637620897964e-12,-2.842170943040401e-14,6.821210263296962e-13,155.0,154.99999999999892,399.99999999999835,399.99999999999727,300.0000000000002,310.0000000000001,350.0,0,1,0,0,0,1,1,1,1,1,1,1,2222.0,19.25916746801635,19.25916746801635,0.0,0.0,0.0,0.0,0.0,0.0
23,1934.865,-3.552713678800501e-15,-1.1102230246251565e-15,-1.2647660696529783e-12,8.526512829121202e-14,-6.252776074688882e-13,155.0,154.99999999999932,399.9999999999971,400.0000000000016,299.9999999999998,309.99999999999875,204.84979546143768,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,10.015204538567591,10.015204538567591,0.0,0.0,0.0,0.0,0.0,0.0
24,1669.815,-1.1102230246251565e-14,3.2307490016592055e-14,-1.7053025658242404e-13,-1.0800249583553523e-12,-1.2221335055073723e-12,154.99999999999997,155.0000000000021,399.99999999999676,399.9999999999982,299.9999999999999,257.1161053010909,0.0,0,0,0,0,0,1,1,1,1,1,1,0,1720.0,2.698894698912437,2.698894698912437,0.0,0.0,0.0,0.0,0.0,0.0
