Hora,L_1_2,L_1_3,L_1_5,L_2_4,L_2_6,L_3_9,L_3_24,L_4_9,L_5_10,L_6_10,L_7_8,L_8_9,L_8_10,L_9_11,L_9_12,L_10_11,L_10_12,L_11_13,L_11_14,L_12_13,L_12_23,L_13_23,L_14_16,L_15_16,L_15_21,L_15_24,L_16_17,L_16_19,L_17_18,L_17_22,L_18_21,L_19_20,L_20_23,L_21_22
12,16.985248263567332,-22.41377606245953,61.7454777988922,35.08823037795328,48.28586788561407,52.58607500175842,-233.63227606421796,-30.379119622046712,-1.2038972011078055,-72.57693211438595,33.18410000000164,-69.88159873326828,-48.01280126673011,-91.07704214155355,-110.194076212003,-136.9494482558872,-156.06648232633663,-40.980932994781654,-187.0455574026591,-8.07456287351623,-258.1859956648234,-283.22717086829766,-358.2678574026591,102.8038204042563,-460.9313214684739,233.632276064218,-344.4656035315276,155.87244153312173,-202.80762373232866,-141.65797979919958,-97.4106987323281,-5.27795846687869,-118.58683346687874,-158.34202020080062
13,25.98459050426822,-18.107138309979938,68.43949780571172,39.98283599701474,52.390604507253485,55.48233508626777,-232.22189839624764,-25.48451400298525,5.4901228057117155,-68.47219549274652,13.184099999994922,-79.59211335553263,-58.30228664447247,-92.07751570645883,-111.11325156579126,-136.73546173608742,-155.77119759541986,-41.06877463593133,-187.74420280661485,-8.302344058391881,-258.5821051028192,-283.54279369432317,-358.96650280661487,103.95104966823729,-460.66817306448473,232.22189839624775,-344.7287519355198,156.58417379714214,-203.03522900709785,-141.69352292842237,-97.63830400709692,-4.566226202857805,-117.87510120285802,-158.30647707157766
14,16.98524826356731,-22.413776062459483,61.745477798892175,35.08823037795327,48.285867885614046,52.586075001758324,-233.6322760642178,-30.379119622046712,-1.2038972011078277,-72.57693211438595,33.18410000000196,-69.88159873326809,-48.01280126672994,-91.07704214155352,-110.194076212003,-136.94944825588715,-156.06648232633663,-40.98093299478164,-187.045557402659,-8.074562873516173,-258.1859956648234,-283.22717086829766,-358.267857402659,102.80382040425533,-460.9313214684728,233.6322760642179,-344.4656035315268,155.87244153312196,-202.80762373232713,-141.6579797991995,-97.4106987323281,-5.277958466879237,-118.58683346687923,-158.34202020080082
15,17.97449584974882,-23.703445941695442,64.06028009194664,36.48933188401253,49.6763539657363,58.907901358519325,-237.90414230021477,-27.599758115987466,2.4361550919466226,-68.64196603426373,-17.493460000000205,-93.74124779505892,-71.65011220494131,-97.39593378954238,-115.40003576298467,-143.73472058690808,-161.73882256035037,-44.23853001186128,-196.89212436458922,-13.247862680526186,-263.89099564280883,-286.7281376923867,-364.5097443645892,106.71683674753228,-463.23209404774724,237.90414230021486,-348.3670009522537,159.30031833519644,-206.5841695564442,-141.78283139581035,-94.98507455644211,1.5425583351963288,-109.3808666648041,-158.21716860418988
16,17.974495849748955,-23.70344594169573,64.06028009194677,36.48933188401257,49.67635396573639,58.90790135851992,-237.90414230021565,-27.59975811598743,2.436155091946763,-68.64196603426365,-17.493460000003736,-93.74124779506072,-71.65011220494307,-97.39593378954304,-115.40003576298518,-143.7347205869089,-161.73882256035108,-44.238530011861286,-196.8921243645906,-13.247862680526413,-263.89099564280974,-286.7281376923877,-364.5097443645905,106.71683674753261,-463.23209404774815,237.90414230021568,-348.36700095225393,159.30031833519715,-206.5841695564434,-141.78283139581052,-94.98507455644464,1.5425583351974226,-109.38086666480311,-158.2171686041898
17,22.65619399580002,-16.173794214379896,62.80579021857984,36.44644214203699,48.993921853763055,42.40424336006919,-223.88972257444905,-31.777427857962998,-2.794084781420169,-76.95783814623694,117.53922000000064,-30.41623803861119,-9.48424196138819,-79.28966137574534,-100.56345616075964,-123.19701505201552,-144.47080983702978,-34.540404355599975,-167.94627207216092,2.0784227333590657,-247.1126887311485,-276.4935166222404,-346.3779320721609,95.95293259208455,-456.10610016653334,223.88972257444914,-336.8864848334665,149.62166035338956,-195.44799656764943,-141.438488265817,-102.45541156764995,-18.3140196466104,-136.39379464661096,-158.5615117341831
18,14.512129298113825,-19.18960136437014,55.95847206625632,31.585476612805202,44.80965268530863,36.78150910985696,-222.95261047422713,-37.32752338719479,-10.304027933743685,-82.41434731469138,159.87799999999996,-10.232476078794923,11.080476078794838,-75.27981302158285,-97.17917733454989,-119.98626742833662,-141.88563174130368,-32.836940452083326,-162.42913999783607,4.858686644007507,-243.92349571986102,-274.47475380807555,-342.6631399978362,93.02127954606232,-455.17939002028953,222.95261047422713,-334.71210997971144,147.3027495279375,-193.36625917203912,-141.34585080767224,-103.47475917203865,-22.329250472063368,-141.6017504720636,-158.65414919232796
19,14.512129298113923,-19.189601364370336,55.9584720662564,31.58547661280523,44.80965268530867,36.78150910985736,-222.9526104742277,-37.32752338719476,-10.304027933743603,-82.41434731469133,159.8779999999976,-10.232476078796113,11.08047607879369,-75.27981302158327,-97.1791773345503,-119.98626742833713,-141.88563174130414,-32.83694045208347,-162.42913999783698,4.858686644007308,-243.92349571986168,-274.4747538080761,-342.6631399978369,93.02127954606296,-455.17939002029016,222.95261047422778,-334.7121099797116,147.30274952793724,-193.36625917203912,-141.3458508076723,-103.47475917204034,-22.329250472062547,-141.6017504720626,-158.6541491923277
20,25.48996671117731,-17.462303370361617,67.2820966591843,39.28228524398506,51.69536146719225,52.321421907886524,-230.08596527824818,-26.87419475601494,3.6700966591843014,-70.43967853280776,38.52288000000025,-67.6622888246351,-46.483631175364735,-88.91806988246366,-108.51027179029981,-133.34282557057603,-152.93502747841217,-39.43997612739132,-182.82091932564836,-5.715694154886463,-255.7296051138255,-281.7923102822777,-355.8455593256483,101.9945414965972,-459.5177867748457,230.08596527824818,-342.7780532251552,154.87023539610382,-201.14695609503855,-141.6310971301167,-98.8511160950376,-7.9764846038965445,-122.47808460389707,-158.36890286988333
21,2.294711770592186,-32.970085597962694,53.97608382736981,28.82440013216515,43.463841638427034,59.86512997374956,-244.78838057171225,-33.88642986783485,-6.322791172630194,-72.30999836157297,-31.1260199999998,-99.61459614776561,-76.22872385223421,-101.86169827693735,-118.90345276491358,-150.91634944923058,-167.95810393720683,-47.33342234912179,-205.4446253770461,-17.999254787851207,-268.8623019142691,-289.6444921369725,-369.4575653770461,108.50489768660098,-466.0202832583134,244.78838057171222,-351.7809817416874,161.4098890512429,-209.9391335103695,-141.84184823131838,-92.1378685103694,7.044769051241521,-101.49320594875866,-158.15815176868168
22,-34.56225267005904,-67.14980101069588,18.115283680754874,0.2734694294287302,20.2821679005137,65.63905704188863,-271.3835030525845,-56.92432057057127,-36.88259131924514,-85.31375209948632,-96.79625999999884,-128.4767907364386,-100.31436926356025,-120.40939726725165,-133.5474719978696,-179.4834289758369,-192.62150370645483,-59.77165112529219,-240.12117511779752,-37.15693232668755,-289.012043377638,-301.5206784519795,-389.7153951177975,116.42324520106861,-476.9973132536535,271.38350305258456,-365.6126317463491,170.323456829619,-223.5109809652851,-142.10165078106408,-80.90103596528738,29.528896829619395,-69.46727817038072,-157.89834921893615
23,26.369995590244436,-95.62273793692974,-16.377390811209445,-32.00694938580329,-7.4084650239522825,66.4978023939319,-284.01703533086175,-82.31343938580329,-64.74901581120945,-100.28198502395229,-85.13406000000012,-116.27726870627458,-84.94869129372557,-123.60917470369903,-126.51049599444691,-189.3245954190697,-192.22591670981762,-51.42156313218698,-261.51220699058183,-46.42748550057179,-272.30892720369263,-277.7914936327582,-393.0830269905817,143.08606540195674,-486.8731157328177,284.01703533086163,-386.7476792671825,224.03044267855708,-243.80187039759818,-142.945808869585,-70.18107539759555,100.19908267855755,13.130157678556806,-157.05419113041506
24,17.31791837550274,-93.66066800485132,-17.110220370651405,-31.31514282530836,-8.140648799188915,69.34059637336192,-268.1996093782133,-74.73033282530838,-58.85559537065142,-88.29176879918892,-73.47185999999996,-101.59835885919233,-72.06240114080764,-110.0904760757011,-98.75633423543763,-172.04566357545573,-160.71152173519226,-22.311912206198823,-259.8242274449578,-41.82150061976707,-217.64635535086273,-219.42620782596543,-373.37164744495783,176.47258053413483,-495.20665491236457,268.19960937821344,-409.4249900876414,309.08239817682784,-265.4267115345467,-143.99827855309508,-60.795066534546244,202.21423817682853,127.0725631768265,-156.00172144690515
