Hora,L_1_2,L_1_3,L_1_5,L_2_4,L_2_6,L_3_9,L_3_24,L_4_9,L_5_10,L_6_10,L_7_8,L_8_9,L_8_10,L_9_11,L_9_12,L_10_11,L_10_12,L_11_13,L_11_14,L_12_13,L_12_23,L_13_23,L_14_16,L_15_16,L_15_21,L_15_24,L_16_17,L_16_19,L_17_18,L_17_22,L_18_21,L_19_20,L_20_23,L_21_22
13,16.985248263567506,-22.413776062459846,61.7454777988923,35.088230377953295,48.28586788561413,52.58607500175901,-233.63227606421884,-30.3791196220467,-1.2038972011076947,-72.57693211438587,33.18409999999909,-69.8815987332696,-48.01280126673135,-91.077042141554,-110.1940762120033,-136.9494482558878,-156.0664823263371,-40.980932994781654,-187.0455574026608,-8.074562873516514,-258.18599566482396,-283.22717086829806,-358.26785740266087,102.80382040425533,-460.9313214684737,233.6322760642189,-344.46560353152785,155.87244153312383,-202.80762373232903,-141.65797979919944,-97.41069873232559,-5.277958466875682,-118.58683346687626,-158.34202020080082
14,16.98524826356731,-22.413776062459476,61.74547779889216,35.088230377953266,48.285867885614046,52.5860750017583,-233.63227606421776,-30.37911962204672,-1.203897201107835,-72.57693211438595,33.18410000000222,-69.88159873326799,-48.012801266729845,-91.07704214155349,-110.19407621200295,-136.9494482558871,-156.06648232633657,-40.980932994781625,-187.04555740265897,-8.074562873516145,-258.1859956648234,-283.2271708682977,-358.26785740265893,102.80382040425502,-460.93132146847256,233.6322760642178,-344.4656035315263,155.87244153312173,-202.80762373232713,-141.65797979919944,-97.4106987323281,-5.277958466879237,-118.58683346687923,-158.3420202008007
15,17.97449584974881,-23.70344594169543,64.06028009194661,36.48933188401252,49.67635396573629,58.90790135851929,-237.9041423002148,-27.599758115987473,2.436155091946608,-68.64196603426375,-17.493459999999864,-93.74124779505874,-71.65011220494117,-97.3959337895423,-115.40003576298461,-143.734720586908,-161.73882256035031,-44.23853001186108,-196.89212436458925,-13.247862680525959,-263.89099564280895,-286.72813769238707,-364.50974436458927,106.71683674753197,-463.232094047747,237.90414230021474,-348.36700095225353,159.30031833519573,-206.5841695564434,-141.7828313958103,-94.98507455644254,1.5425583351966021,-109.3808666648041,-158.21716860418988
16,17.974495849748898,-23.703445941695627,64.06028009194668,36.489331884012536,49.67635396573633,58.90790135851968,-237.90414230021528,-27.599758115987452,2.436155091946667,-68.64196603426369,-17.49346000000314,-93.7412477950604,-71.65011220494279,-97.39593378954304,-115.40003576298528,-143.73472058690876,-161.73882256035103,-44.23853001186142,-196.8921243645898,-13.247862680526385,-263.89099564280986,-286.7281376923878,-364.5097443645898,106.71683674753228,-463.23209404774747,237.9041423002154,-348.3670009522541,159.30031833519524,-206.58416955644378,-141.78283139581023,-94.98507455644211,1.542558335195782,-109.3808666648041,-158.2171686041898
17,15.006753091204496,-19.83443630398799,57.11587321278347,32.28602736583482,45.50489572536969,39.942422288237196,-225.0885435922252,-35.93784263416517,-8.48400178721652,-80.4468642746303,134.53922000000046,-22.162300609689495,-0.7381793903100673,-78.43925884557694,-99.78215711004052,-123.37890359384663,-144.7218018583102,-34.46573896062294,-167.3524234788006,2.2720367405028568,-246.77599570885354,-276.22523722012005,-345.7840834788006,94.97778771770079,-456.32977630992565,225.08854359222525,-336.66280869007375,149.01668792897365,-195.25453208409607,-141.40827660597768,-102.26194708409756,-18.91899207102654,-136.99876707102652,-158.59172339402244
18,14.512129298113893,-19.189601364370276,55.95847206625639,31.58547661280523,44.80965268530866,36.781509109857254,-222.95261047422755,-37.32752338719476,-10.30402793374361,-82.41434731469133,159.87799999999794,-10.232476078795935,11.080476078793865,-75.27981302158321,-97.17917733455022,-119.98626742833704,-141.88563174130405,-32.8369404520835,-162.4291399978368,4.858686644007223,-243.92349571986148,-274.4747538080759,-342.6631399978368,93.02127954606199,-455.1793900202893,222.95261047422755,-334.71210997971144,147.3027495279382,-193.36625917203986,-141.3458508076721,-103.47475917203697,-22.32925047206282,-141.6017504720631,-158.65414919232785
19,14.512129298113951,-19.1896013643704,55.95847206625647,31.58547661280524,44.80965268530871,36.7815091098575,-222.9526104742279,-37.32752338719475,-10.304027933743544,-82.4143473146913,159.87799999999703,-10.232476078796402,11.080476078793446,-75.27981302158327,-97.17917733455026,-119.98626742833721,-141.8856317413042,-32.83694045208344,-162.4291399978374,4.858686644007308,-243.92349571986165,-274.4747538080761,-342.66313999783745,93.02127954606296,-455.17939002029084,222.95261047422798,-334.7121099797123,147.3027495279382,-193.36625917203986,-141.34585080767235,-103.4747591720395,-22.329250472061453,-141.6017504720616,-158.65414919232776
20,16.490624470476696,-21.768941122841778,60.58807665236508,34.38767962492368,47.59062484555301,49.42516182337838,-231.49634294622015,-31.76880037507631,-3.0239233476349305,-74.54441515444701,58.52287999999978,-57.95177420237439,-36.194145797625865,-87.91759631755971,-107.59109643651261,-133.55681209037746,-153.23031220933035,-39.35213448624198,-182.1222739216952,-5.487912970011608,-255.33349567583136,-281.4766874562536,-355.1469139216951,100.84731223261718,-459.7809351788375,231.49634294622018,-342.51490482116446,154.15850313208577,-200.91935082027052,-141.59555400089408,-98.62351082027088,-8.688216867915243,-123.18981686791531,-158.404445999106
21,2.2947117705921114,-32.970085597962715,53.976083827369756,28.824400132165106,43.463841638427006,59.865129973749504,-244.7883805717122,-33.88642986783488,-6.322791172630246,-72.30999836157301,-31.126020000000437,-99.61459614776592,-76.22872385223454,-101.86169827693745,-118.90345276491385,-150.9163494492307,-167.95810393720708,-47.333422349122095,-205.444625377046,-17.999254787851264,-268.8623019142696,-289.64449213697293,-369.457565377046,108.50489768660034,-466.0202832583125,244.78838057171222,-351.78098174168696,161.40988905124104,-209.93913351036875,-141.84184823131827,-92.13786851036855,7.0447690512407,-101.49320594875965,-158.15815176868185
22,88.08514427250175,-64.27887078485357,22.511956512346657,-3.358968236606428,16.647002509108106,67.59084529550664,-270.4643610803602,-60.55675823660641,-32.48591848765334,-88.94891749089189,-96.79625999999944,-128.24175272587672,-100.54940727412276,-121.158693957012,-134.24378670996444,-179.24668524985776,-192.33177800281024,-59.82889745095626,-240.57648175591316,-37.305377138497114,-289.2701875742775,-301.7263695894533,-390.1707017559131,117.17089357372448,-476.8258196540847,270.4643610803603,-365.78412534591905,170.78729216373017,-223.65931113662344,-142.12481420929646,-81.04936613661988,29.99273216373088,-69.00344283626966,-157.87518579070363
23,31.545702438736427,-92.45662885182007,-12.613943586916355,-29.13266669161647,-5.1070408696471175,67.05672493916596,-281.4098487909861,-79.43915669161647,-60.985568586916365,-97.9805608696471,-85.13406000000018,-116.02399194677541,-85.2019680532248,-122.04618228975384,-124.387006409472,-186.699046695035,-189.0398708147532,-49.10625829462684,-259.6389706901619,-45.07697087543986,-268.3499063487853,-274.1256741700666,-391.2097906901618,145.20680282082319,-486.3866666118097,281.4098487909861,-387.2341283881905,228.51086551884976,-244.2226154379192,-143.0115129502715,-70.6018204379214,104.67950551884897,17.61058051884901,-156.9884870497286
24,29.53851860801061,-84.5640830648151,-8.427405543195508,-24.38910104464481,-2.8460903473446004,68.05752854894088,-257.81995661375606,-67.80429104464481,-50.172780543195515,-82.9972103473446,-73.47186000000002,-100.7962397676057,-72.86452023239434,-106.30244302716177,-96.09927423614782,-164.89254995697422,-154.68938116596027,-21.089910794642325,-250.10508218949346,-38.65274232015811,-212.13591308194987,-215.0354481148003,-363.65250218949353,160.5129996153294,-498.86742122909726,257.81995661375606,-405.76422377091245,299.1811961967478,-262.26040039321174,-143.5038233777013,-57.6287553932015,192.31303619674847,117.17136119674586,-156.49617662229886
